variables,media
Acidithiobacillia,3.804829670284946e-5
Acidobacteria,0.006016906611707082
Actinobacteria,0.061222771224639906
Alphaproteobacteria,0.06469043354467685
Aquificae,2.348584191565364e-4
Armatimonadetes,3.729123382492897e-4
Bacteroidetes,0.08747764180218348
Balneolaeota,5.09671681834096e-4
Betaproteobacteria,0.0952309230454146
Caldiserica,6.480344332891779e-5
Calditrichaeota,6.270759597330027e-5
candidate.division.CPR1,1.1697955013820409e-5
candidate.division.CPR2,3.466554155453195e-5
candidate.division.CPR3,8.77820146876391e-5
candidate.division.NC10,3.50413915474499e-5
candidate.division.WOR.3,1.9726856665369346e-4
candidate.division.WWE3,2.158254139953723e-4
candidate.division.Zixibacteria,1.6998132711464858e-4
Candidatus.Abawacabacteria,1.4309539652471833e-5
Candidatus.Adlerbacteria,1.1151987570667e-5
Candidatus.Aenigmarchaeota,3.21835053198245e-5
Candidatus.Amesbacteria,3.1388921781150004e-5
Candidatus.Aminicenantes,3.8891684260115356e-4
Candidatus.Andersenbacteria,1.6728693353199395e-5
Candidatus.Atribacteria,5.950568972911438e-4
Candidatus.Azambacteria,1.0450954094991384e-4
Candidatus.Bathyarchaeota,1.2522685336411482e-4
Candidatus.Beckwithbacteria,9.489687629375378e-4
Candidatus.Berkelbacteria,1.023788165328685e-4
Candidatus.Bipolaricaulota,2.5404371127336876e-5
Candidatus.Blackburnbacteria,5.484475724039076e-5
Candidatus.Brennerbacteria,5.887187315680995e-6
Candidatus.Buchananbacteria,1.2949019702030655e-4
Candidatus.Campbellbacteria,8.614478980309428e-5
Candidatus.Chisholmbacteria,4.923357765728963e-4
Candidatus.Cloacimonetes,0.001025139441541982
Candidatus.Coatesbacteria,9.908332059301475e-6
Candidatus.Collierbacteria,5.820241133206069e-5
Candidatus.Colwellbacteria,2.877758430147146e-5
Candidatus.Curtissbacteria,1.6894945512195884e-4
Candidatus.Dadabacteria,1.2774437908823978e-4
Candidatus.Daviesbacteria,2.6601086179204756e-4
Candidatus.Delongbacteria,1.2928939615684316e-5
Candidatus.Desantisbacteria,4.366711996821238e-5
Candidatus.Diapherotrites,1.3586083506109654e-4
Candidatus.Doudnabacteria,1.3216367569717104e-4
Candidatus.Edwardsbacteria,6.8914680656168624e-6
Candidatus.Eisenbacteria,6.67195915565047e-5
Candidatus.Falkowbacteria,5.012374649639719e-4
Candidatus.Fermentibacteria,1.9258739759720624e-5
Candidatus.Firestonebacteria,5.9486449289591526e-5
Candidatus.Fischerbacteria,6.284156176294656e-5
Candidatus.Fraserbacteria,3.58847713091709e-6
Candidatus.Giovannonibacteria,7.380273951789098e-5
Candidatus.Glassbacteria,1.0611054344190691e-5
Candidatus.Gottesmanbacteria,0.0015223475377987724
Candidatus.Gracilibacteria,5.5781018553608486e-5
Candidatus.Handelsmanbacteria,1.2535057491462967e-4
Candidatus.Harrisonbacteria,6.400614976714061e-5
Candidatus.Heimdallarchaeota,1.8473062893284057e-4
Candidatus.Hydrogenedentes,7.83906607428308e-5
Candidatus.Jacksonbacteria,2.1742402297960027e-5
Candidatus.Jorgensenbacteria,8.136385815331879e-5
Candidatus.Kaiserbacteria,4.222282759800614e-4
Candidatus.Kerfeldbacteria,5.391427543528964e-5
Candidatus.Komeilibacteria,5.1111933111679395e-5
Candidatus.Korarchaeota,8.111388922148016e-7
Candidatus.Kuenenbacteria,8.566456009377995e-5
Candidatus.Latescibacteria,5.733377274705239e-5
Candidatus.Levybacteria,6.020322332495042e-4
Candidatus.Lindowbacteria,2.1926873038679683e-5
Candidatus.Liptonbacteria,6.168690335351957e-5
Candidatus.Lloydbacteria,7.156487486248269e-5
Candidatus.Lokiarchaeota,4.0070614345822e-5
Candidatus.Magasanikbacteria,0.0011703525405535387
Candidatus.Margulisbacteria,3.388043961699944e-5
Candidatus.Marinimicrobia,0.0026425606193877468
Candidatus.Melainabacteria,1.6015917152675978e-4
Candidatus.Micrarchaeota,8.329822298911525e-5
Candidatus.Moranbacteria,5.341648076848434e-4
Candidatus.Muproteobacteria,1.3688110075402797e-4
Candidatus.Nealsonbacteria,7.170727712503105e-4
Candidatus.Niyogibacteria,1.4809556980513653e-5
Candidatus.Nomurabacteria,0.0012233166094263756
Candidatus.Odinarchaeota,5.683485038380615e-6
Candidatus.Omnitrophica,8.865472275582e-4
Candidatus.Pacebacteria,8.055611228016541e-5
Candidatus.Parcubacteria,4.2404047805512684e-5
Candidatus.Parvarchaeota,1.6989065774678133e-5
Candidatus.Peregrinibacteria,9.5560110288471e-4
Candidatus.Poribacteria,8.355035617483777e-4
Candidatus.Portnoybacteria,7.738271509352754e-5
Candidatus.Raymondbacteria,3.235292665587409e-5
Candidatus.Riflebacteria,4.171112928233119e-5
Candidatus.Roizmanbacteria,5.122035751022795e-4
Candidatus.Rokubacteria,2.4929969660466444e-4
Candidatus.Ryanbacteria,2.714989751580017e-5
Candidatus.Saccharibacteria,0.003096256395525755
Candidatus.Schekmanbacteria,1.5225109902060045e-4
Candidatus.Shapirobacteria,2.9664177015268706e-4
Candidatus.Spechtbacteria,5.860972124298191e-4
Candidatus.Staskawiczbacteria,1.5330511307069743e-4
Candidatus.Sungbacteria,5.213302789106025e-5
Candidatus.Tagabacteria,2.613679073115053e-5
Candidatus.Taylorbacteria,1.488522012053945e-4
Candidatus.Tectomicrobia,6.629310226568078e-5
Candidatus.Terrybacteria,8.219596200119658e-5
Candidatus.Thorarchaeota,6.573920587089909e-6
Candidatus.Uhrbacteria,3.151518000476543e-4
Candidatus.Veblenbacteria,6.307008264041639e-6
Candidatus.Verstraetearchaeota,3.0525784698761255e-6
Candidatus.Vogelbacteria,3.426510349068522e-5
Candidatus.Wallbacteria,9.669991071208097e-6
Candidatus.Wildermuthbacteria,3.131357210252896e-5
Candidatus.Wirthbacteria,6.668970625605266e-6
Candidatus.Woesearchaeota,9.197606813374613e-4
Candidatus.Woesebacteria,0.008996243793128288
Candidatus.Wolfebacteria,9.719548860356393e-5
Candidatus.Woykebacteria,6.352921020499327e-5
Candidatus.Yanofskybacteria,1.8474037333488438e-4
Candidatus.Yonathbacteria,2.3619966678777294e-5
Candidatus.Zambryskibacteria,8.120601819060848e-5
Chlamydiae,5.66856281630561e-4
Chlorobi,0.005296475190795624
Chloroflexi,0.023321941912757906
Chrysiogenetes,5.877609661094174e-6
Coprothermobacterota,8.964098646952543e-6
Crenarchaeota,9.325575927443188e-4
Cyanobacteria,0.03918906414118153
Deferribacteres,3.001253641628669e-4
Deinococcus.Thermus,4.94905615206315e-4
Deltaproteobacteria,0.012788917861643252
Dictyoglomi,5.7509028533351484e-5
Elusimicrobia,0.0013303138959539914
Epsilonproteobacteria,0.005887518551079096
Euryarchaeota,0.010885034948740192
Fibrobacteres,5.815763138163158e-4
Firmicutes,0.2556314938895236
Fusobacteria,0.0014048984785972433
Gammaproteobacteria,0.15249581158870773
Gemmatimonadetes,0.0026723671436441917
Ignavibacteriae,0.0017288744949406879
Kiritimatiellaeota,9.084056758033075e-5
Lentisphaerae,0.03795552050173341
Nanoarchaeota,1.7545904581449136e-5
Nitrospinae,5.341606326572027e-4
Nitrospirae,9.541863362442821e-4
Oligoflexia,0.005006089574176002
Planctomycetes,0.007734165829280856
Rhodothermaeota,5.721947193920478e-7
Spirochaetes,0.003573015970783104
Synergistetes,0.0011169465042881934
Tenericutes,0.003214082014083699
Thaumarchaeota,0.006705716635865112
Thermodesulfobacteria,2.341163630811008e-4
Thermotogae,0.0020353031545946964
Unclassified.class.in.Proteobacteria,0.05712112495107998
Verrucomicrobia,0.005801547190587351
Zetaproteobacteria,1.499236156414535e-4
