SAMPLE ID,HOST SPECIES,HEALTH STATUS,GROWTH FORM,NUMBER OF SEQUENCES
mgm4440319,Porites astreoides,Healthy,massive,264670
mgm4445755,Acropora millepora,Bleached,branching,400029
mgm4445756,Acropora millepora,Healthy,branching,397137
mgm4480739,Mussismilia hispida,Healthy,massive,21557
mgm4480740,Mussismilia hispida,Healthy,massive,26847
mgm4480741,Mussismilia hispida,Bleached,massive,19647
mgm4480742,Mussismilia hispida,Bleached,massive,23214
mgm4480743,Mussismilia hispida,Bleached,massive,32494
mgm4484839,Mussismilia hispida,Healthy,massive,34990
mgm4486661,Madracis decactis,Healthy,nodular,20979
mgm4486662,Madracis decactis,Bleached,nodular,34637
mgm4486663,Madracis decactis,Healthy,nodular,29159
mgm4486664,Madracis decactis,Healthy,nodular,24242
mgm4486665,Madracis decactis,Bleached,nodular,15335
mgm4486666,Madracis decactis,Bleached,nodular,30610
mgm4486667,Madracis decactis,Healthy,nodular,38849
mgm4486668,Madracis decactis,Healthy,nodular,16032
mgm4486669,Madracis decactis,Bleached,nodular,31207
mgm4487909,Mussismilia hispida,Bleached,massive,32214
mgm4487910,Mussismilia hispida,Bleached,massive,71400
mgm4487911,Mussismilia hispida,Bleached,massive,22220
mgm4516541,Madracis decactis,Healthy,nodular,146900
mgm4516694,Mussismilia hispida,Healthy,massive,40035
mgm4694758,Pocillopora meandrina,Healthy,branching,58640
mgm4694759,Pocillopora meandrina,Healthy,branching,32208
mgm4694760,Pocillopora meandrina,Healthy,branching,54281
SRR1275409,Acropora muricata,Healthy,branching,9285555
SRR1275449,Pocillopora damicornis,Healthy,branching,7743875
SRR1822516,Orbicella annularis,Black Band Disease,massive,32738739
SRR2937345,Platygyra carnosa,Healthy,massive,14914156
SRR2937346,Platygyra carnosa,Healthy,massive,12446728
SRR2937347,Platygyra carnosa,Healthy,massive,11263319
SRR2937348,Platygyra carnosa,Healthy,massive,13035364
SRR2937349,Platygyra carnosa,Healthy,massive,11645915
SRR2937350,Platygyra carnosa,Healthy,massive,10924809
SRR2937351,Platygyra carnosa,Healthy,massive,10263454
SRR2937352,Platygyra carnosa,Healthy,massive,13323863
SRR2937353,Platygyra carnosa,Healthy,massive,13398864
SRR2937354,Platygyra carnosa,Healthy,massive,15320432
SRR2937355,Platygyra carnosa,Healthy,massive,11569576
SRR2937356,Platygyra carnosa,Healthy,massive,12064710
SRR3499156,Montipora hispida,Black Band Disease,massive,20164401
SRR3569370,Montipora hispida,Black Band Disease,massive,22962403
SRR3694369,Acropora humilis,Healthy,branching,15069068
SRR3694370,Acropora humilis,Healthy,branching,9239880
